                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,          test_accuracy,         train_accuracy,             train_loss,                   lr/0
                      0,                 2.5926,                 1.7495,                0.79575,                0.95065,                0.79577,                0.49958,                 2.5926,               0.000901
                      1,                  1.689,                 1.4547,                0.88077,                0.97874,                0.88078,                0.78006,                  1.689,               0.000802
                      2,                 1.4927,                 1.3445,                0.91547,                0.98607,                0.91545,                0.84372,                 1.4927,               0.000703
                      3,                 1.3708,                 1.2562,                0.93061,                0.98803,                0.93056,                0.88243,                 1.3708,               0.000604
                      4,                 1.2872,                 1.1738,                0.95627,                0.99218,                0.95627,                0.90765,                 1.2872,               0.000505
                      5,                 1.2255,                 1.1323,                0.96335,                0.99243,                0.96333,                0.92369,                 1.2255,               0.000406
                      6,                 1.1666,                 1.1095,                0.96531,                0.99267,                0.96533,                0.94228,                 1.1666,               0.000307
                      7,                 1.1137,                 1.0844,                 0.9697,                0.99267,                 0.9697,                0.95292,                 1.1137,               0.000208
                      8,                 1.0644,                 1.0667,                 0.9719,                0.99267,                0.97187,                 0.9654,                 1.0644,               0.000109
                      9,                 1.0333,                 1.0553,                0.97337,                0.99291,                0.97336,                0.97137,                 1.0333,                  1e-05
